      time         0         1         2
  0.813750  0.056135  0.152539  0.222622
  0.815500  0.056328  0.152074  0.222639
  0.817250  0.056523  0.151611  0.222657
  0.819000  0.056718  0.151150  0.222677
  0.820750  0.056915  0.150690  0.222698
  0.822500  0.057114  0.150233  0.222721
  0.824250  0.057313  0.149777  0.222745
  0.826000  0.057514  0.149324  0.222770
  0.827750  0.057717  0.148872  0.222797
  0.829500  0.057921  0.148422  0.222825
  0.831250  0.058126  0.147974  0.222855
  0.833000  0.058333  0.147529  0.222886
  0.834750  0.058541  0.147085  0.222919
  0.836500  0.058751  0.146642  0.222953
  0.838250  0.058962  0.146202  0.222989
  0.840000  0.059174  0.145764  0.223026
  0.841750  0.059388  0.145327  0.223064
  0.843500  0.059603  0.144893  0.223104
  0.845250  0.059820  0.144460  0.223145
  0.847000  0.060039  0.144029  0.223187
  0.848750  0.060258  0.143600  0.223231
  0.850500  0.060480  0.143172  0.223277
  0.852250  0.060702  0.142747  0.223323
  0.854000  0.060927  0.142323  0.223371
  0.855750  0.061153  0.141901  0.223421
  0.857500  0.061380  0.141481  0.223472
  0.859250  0.061609  0.141063  0.223524
  0.861000  0.061839  0.140646  0.223578
  0.862750  0.062071  0.140232  0.223633
  0.864500  0.062304  0.139819  0.223689
  0.866250  0.062539  0.139407  0.223747
  0.868000  0.062776  0.138998  0.223806
  0.869750  0.063014  0.138590  0.223867
  0.871500  0.063254  0.138184  0.223928
  0.873250  0.063495  0.137780  0.223992
  0.875000  0.063738  0.137377  0.224056
  0.876750  0.063983  0.136976  0.224122
  0.878500  0.064229  0.136577  0.224189
  0.880250  0.064477  0.136180  0.224258
  0.882000  0.064726  0.135784  0.224328
  0.883750  0.064977  0.135390  0.224399
  0.885500  0.065230  0.134998  0.224472
  0.887250  0.065484  0.134607  0.224546
  0.889000  0.065741  0.134218  0.224621
  0.890750  0.065998  0.133830  0.224697
  0.892500  0.066258  0.133445  0.224775
  0.894250  0.066519  0.133060  0.224855
  0.896000  0.066782  0.132678  0.224935
  0.897750  0.067046  0.132297  0.225017
  0.899500  0.067312  0.131918  0.225100
  0.901250  0.067580  0.131540  0.225185
  0.903000  0.067850  0.131164  0.225271
  0.904750  0.068122  0.130790  0.225358
  0.906500  0.068395  0.130417  0.225446
  0.908250  0.068670  0.130046  0.225536
